round,total_time_sec
1,24.4880
2,4.2988
3,3.7433
4,4.0526
5,5.1551
6,3.7839
7,3.7136
8,4.0242
9,4.7845
10,3.8256
11,3.7824
12,4.3061
13,4.7248
14,3.5564
15,3.7549
16,4.5401
17,4.4846
18,4.0726
19,3.4824
20,4.0415
21,4.6543
22,3.8190
23,4.0737
24,4.3550
25,5.7438
26,4.5983
27,4.6361
28,4.3837
29,5.5559
30,4.4283
31,4.5355
32,3.9751
33,4.9868
34,3.8941
35,5.4231
36,3.8097
37,3.7132
38,3.9185
39,4.5204
40,3.8428
41,3.7722
42,4.1106
43,4.5035
44,3.9286
45,3.6971
46,3.9999
47,4.5979
48,3.7979
49,3.8687
50,4.2453
51,4.7216
52,3.8395
53,3.8224
54,3.9865
55,4.5977
56,4.1477
57,4.1149
58,4.0156
59,4.4547
60,4.2255
61,3.8648
62,4.1032
63,4.6510
64,4.0614
65,3.8912
66,4.0206
67,5.3095
68,4.3709
69,4.5441
70,4.0186
71,5.5091
72,4.4860
73,4.4801
74,4.0462
75,5.4265
76,4.1378
77,3.8972
78,4.2548
79,4.6915
80,3.8366
81,5.4951
82,3.8319
83,5.3858
84,3.9833
85,5.5241
86,3.7306
87,3.7046
88,4.0091
89,4.7729
90,3.9473
91,3.7652
92,4.0338
93,4.4081
94,3.8228
95,3.7666
96,3.9394
97,4.5109
98,3.7193
99,3.7723
100,4.0139
